Company name,Symbol,Sector,Date added
Adani Enterprises,ADANIENT,Metals & Mining,2022-09-30
Adani Ports & SEZ,ADANIPORTS,Services,2015-09-28
Apollo Hospitals,APOLLOHOSP,Healthcare,2022-03-31
Asian Paints,ASIANPAINT,Consumer Durables,2012-04-27
Axis Bank,AXISBANK,Financial Services,2009-03-27
Bajaj Auto,BAJAJ-AUTO,Automobile and Auto Components,2010-10-01
Bajaj Finance,BAJFINANCE,Financial Services,2017-09-29
Bajaj Finserv,BAJAJFINSV,Financial Services,2018-04-02
Bharat Electronics,BEL,Capital Goods,2024-09-30
Bharti Airtel,BHARTIARTL,Telecommunication,2004-03-01
Cipla,CIPLA,Healthcare,1998-10-07
Coal India,COALINDIA,"Oil, Gas & Consumable Fuels",2011-10-10
Dr. Reddy's Laboratories,DRREDDY,Healthcare,2010-10-01
Eicher Motors,EICHERMOT,Automobile and Auto Components,2016-04-01
Eternal,ETERNAL,Consumer Services,2025-03-28
Grasim Industries,GRASIM,Construction Materials,2018-04-02
HCLTech,HCLTECH,Information Technology,2002-10-28
HDFC Bank,HDFCBANK,Financial Services,1996-04-22
HDFC Life,HDFCLIFE,Financial Services,2020-07-31
Hero MotoCorp,HEROMOTOCO,Automobile and Auto Components,1998-10-07
Hindalco Industries,HINDALCO,Metals & Mining,1996-04-22
Hindustan Unilever,HINDUNILVR,Fast Moving Consumer Goods,1996-04-22
ICICI Bank,ICICIBANK,Financial Services,2002-01-25
IndusInd Bank,INDUSINDBK,Financial Services,2013-04-01
Infosys,INFY,Information Technology,1998-10-07
ITC,ITC,Fast Moving Consumer Goods,1996-04-22
Jio Financial Services,JIOFIN,Financial Services,2025-03-28
JSW Steel,JSWSTEEL,Metals & Mining,2018-09-28
Kotak Mahindra Bank,KOTAKBANK,Financial Services,2010-04-08
Larsen & Toubro,LT,Construction,2004-12-10
Mahindra & Mahindra,M&M,Automobile and Auto Components,1996-09-18
Maruti Suzuki,MARUTI,Automobile and Auto Components,2004-03-01
Nestlé India,NESTLEIND,Fast Moving Consumer Goods,2019-09-27
NTPC,NTPC,Power,2007-09-24
Oil and Natural Gas Corporation,ONGC,"Oil, Gas & Consumable Fuels",2004-04-12
Power Grid,POWERGRID,Power,2008-03-14
Reliance Industries,RELIANCE,"Oil, Gas & Consumable Fuels",1996-04-22
SBI Life Insurance Company,SBILIFE,Financial Services,2020-09-25
Shriram Finance,SHRIRAMFIN,Financial Services,2024-03-28
State Bank of India,SBIN,Financial Services,1996-04-22
Sun Pharma,SUNPHARMA,Healthcare,2002-01-17
Tata Consultancy Services,TCS,Information Technology,2005-02-25
Tata Consumer Products,TATACONSUM,Fast Moving Consumer Goods,2021-03-31
Tata Motors,TATAMOTORS,Automobile and Auto Components,1996-04-22
Tata Steel,TATASTEEL,Metals & Mining,1996-04-22
Tech Mahindra,TECHM,Information Technology,2014-03-28
Titan Company,TITAN,Consumer Durables,2018-04-02
Trent,TRENT,Consumer Services,2024-09-30
UltraTech Cement,ULTRACEMCO,Construction Materials,2012-09-28
Wipro,WIPRO,Information Technology,2013-09-27
